Users,Date Created,Number of Likes,Source of Tweet,Tweet
Margaret McInally,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @CarolineLucas: Outrageous for Rishi Sunak to try and distance himself from Johnson's chaotic Govt, when he was right at the heart of it…"
Seannachaidh/Shenachie,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @SkyNews: ""It's not for Rishi Sunak to decide whether Scotland becomes independent or not.""

Scotland's First Minister Nicola Sturgeon s…"
Colin Lefty Woke Rowe 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #socialismnow,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @TheMendozaWoman: Rishi Sunak is being touted as a moderate.

This is the guy who cheerfully reminded wealthy voters he redirected  publ…"
Mohammed Waseem,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
Bob Millar,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @zarahsultana: Rishi Sunak will be a super-rich Prime Minister, governing for the super-rich. https://t.co/65mpdi0UwS"
Andy Parker,2022-10-25 18:00:31+00:00,0,Twitter for Android,"RT @GOV2UK: Rishi Sunak profited from Putin's Regime via Infosys, which his wife holds a £670M stake in.. while Russia was *actually invadi…"
Feminazgûl 🕷,2022-10-25 18:00:31+00:00,0,Twitter Web App,"RT @PeterStefanovi2: At noon Rishi Sunak promised a “compassionate” Government

At 5pm he made Suella Braverman - with her cruel &amp; toxic vi…"
Lewis N Watson 🇺🇦,2022-10-25 18:00:31+00:00,0,Twitter for iPhone,RT @CountBinface: NEW: Rishi Sunak has resigned.
brutaltruth,2022-10-25 18:00:31+00:00,0,Twitter for Android,"@exbhakt_ Rishi sunak:
Pakistani- pak fida
Hindu -India fida&amp;trade deal
Dad/relatives World economic forum k member… https://t.co/INnoNRZLUY"
Raghunath Mukherjee,2022-10-25 18:00:30+00:00,0,Twitter for iPhone,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
Mayor of Delta #Obidient,2022-10-25 18:00:30+00:00,0,Twitter for Android,"RT @firstladyship: Rishi Sunak will address the UK in official capacity as Prime Minister at 11 AM, UK time. He’ll announce his cabinet the…"
N J Matthews,2022-10-25 18:00:30+00:00,0,Twitter for iPhone,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
Peter P Ngo,2022-10-25 18:00:30+00:00,0,Twitter Web App,"Putin has 'no hope' from Rishi Sunak as Ukraine war deteriorates Russia-UK ties (The Hindustan Times)
https://t.co/yUPb2OsrHo"
Bruce Henderson,2022-10-25 18:00:30+00:00,0,Twitter Web App,RT @GOV2UK: Jacob Rees-Mogg is very angry and wants you to *stop* retweeting this video of him saying we need a General Election if we have…
Dr DJ 🌎,2022-10-25 18:00:29+00:00,0,Twitter for iPhone,"It took Twitter literally 1 day to move on from Virat #Kohli to Rishi #Sunak 

The point is: even when you achieve… https://t.co/7AT4BC3aZf"
V. 🇫🇷🇬🇧 PhD #AYUB #LesMaitresdelOrage #InLimbo,2022-10-25 18:00:29+00:00,0,Twitter for Android,"RT @RichardJMurphy: So, Rishi Sunak appoints as Home Secretary a woman who dreams of deporting victims of torture to Rwanda. Any hope that…"
